feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
swtcoif3_D4_V6_gini,-0.05549809986370358,0.13517381897127875,-0.17183618683004204,0.43716766698927434,False,False,0.5039361911113404,False
swtcoif3_D6_II_gini,0.054966557944500144,-0.01781974323100097,0.10007138537401127,0.4181876013694783,False,False,0.48529934073582315,False
dwtdb4_D3_V5_skew,0.054964196812352546,0.030656385634821495,0.11320579292565046,0.8441168733741204,False,False,0.8716386368890009,False
swtsym4_D6_V4_halfratio,-0.05481651802516544,0.03697336422045083,-0.18804242227378673,0.6651515779165028,False,False,0.7201251613790957,False
dwtdb4_D5_V2_p99,0.05480461691002724,-0.11522549728823399,0.2586696429642082,0.7785573549202729,False,False,0.8166519436915088,False
swtdb4_D6_AVL_halfratio,0.05477334229939988,-0.030948731550282597,0.10366806215155538,0.40508377242996985,False,False,0.47195324732003935,False
dwtdb4_D4_III_crest,-0.05477071808835948,0.017555167807180444,-0.15179442070594235,0.933090569690804,False,False,0.9476730689532744,False
wptdb4_b9_AVR_crest,0.054539807470691655,0.04783993726913625,0.03537384353159515,0.255300126550815,False,False,0.3153596231202859,False
swtsym4_D4_I_p95,0.05451866269258381,0.08945020480441152,-0.05927386601381895,0.17048961522856498,False,False,0.2212474156130029,False
swtsym4_D5_II_p95,0.054395587032191973,-0.06733840750733643,0.1970140916273078,0.7157999952303762,False,False,0.7635606855964192,False
swtsym4_D4_V6_hjmob,-0.05431254293067387,-0.5994551208338813,0.06381963880352831,2.0013671551677226e-10,False,False,8.148772371407066e-10,False
swtcoif3_D6_V5_hjmob,0.05430333727530347,-0.3005681314895232,0.15846775129093402,1.1478317848600215e-13,False,False,6.325716135946638e-13,False
wptdb4_b8_III_energy,-0.05428405958591268,-0.03507505180761085,-0.03922790250707074,0.8336901671869335,True,False,0.8628305267018438,False
swtdb4_D5_I_kurt,-0.054230911635369486,0.07714496296796558,-0.15290155001606812,0.7094205761061343,False,False,0.7578865420228642,False
swtdb4_D4_V6_hjmob,-0.05421084633262012,-0.599228277654309,0.06392010323718947,2.0116322891965872e-10,False,False,8.183908922877823e-10,False
swtsym4_D5_V1_hjmob,-0.05411797509177851,-0.383380945891355,-0.00015310208859096764,5.4517042709844966e-11,False,False,2.361197087797473e-10,False
swtdb4_D5_V1_hjmob,-0.0540909192486495,-0.38291875337069103,-0.0001492266246803866,5.488471747817068e-11,False,False,2.367613157420397e-10,False
swtsym4_D4_AVF_std,0.05394417741129454,0.05825325241829952,0.1461339313139612,0.21575254969385027,False,False,0.2720831045030309,False
swtdb4_D4_AVF_std,0.053944177410760054,0.05825325241742192,0.14613393131366126,0.21575254969385027,False,False,0.2720831045030309,False
swtsym4_A6_AVF_hjmob,0.053886456476603166,-0.15749326610718528,0.16170925328834534,0.5007107283887369,False,False,0.5657160724446239,False
swtdb4_A6_AVF_hjmob,0.0538513679270777,-0.1575638609541801,0.16167665866298345,0.5010719155832712,False,False,0.56599635791844,False
wptdb4_b4_AVF_energy,0.05380133209746199,0.057518194959074107,0.12228515287989969,0.14806193625538613,False,False,0.19476917166717986,False
wptdb4_b2_AVF_crest,-0.05379500766284634,0.06205990285742951,-0.19906107029040984,0.9663087667173358,False,False,0.9727236106726107,False
swtdb4_D5_AVR_qrsonfrac,-0.053699895464103344,0.03858420956064082,-0.1254201672004392,0.4339184411021927,False,False,0.5006520358024839,False
swtcoif3_D3_V1_energy,0.05340494159370827,-0.19708745476338135,0.2068261764624027,0.5858378833851894,False,False,0.6450298153367752,False
swtcoif3_D5_V3_logenergy,-0.05337518063639128,0.06396518861970257,-0.12568361991083252,0.21011519242405818,False,False,0.2665865604264266,False
swtdb4_D4_AVL_kurt,0.0532371543136846,0.16459877766892342,-0.04758500196576418,0.2168341211822541,False,False,0.27324047907227383,False
swtdb4_D4_V2_hjmob,0.053143508292280074,-0.20736869958366827,0.1868340793989528,0.0033091542528986143,False,False,0.0058574488438290296,False
wptdb4_b3_V4_maxabs,-0.0531299570214477,0.00448916929309744,0.014683785306407708,0.2778233332074358,False,False,0.33949400717216327,False
swtsym4_D4_V2_hjmob,0.05300566796198834,-0.20729465909006328,0.18661770037517084,0.0032464612054142108,False,False,0.005752582107610733,False
swtsym4_D4_AVF_nover3,-0.052975582922205305,0.3074736222737049,-0.41715740346744573,0.8275035762714352,False,False,0.8581478217701851,False
dwtdb4_D6_V1_kurt,-0.05296067923006748,0.09313606826842627,-0.2146888863322506,0.6274901352609856,False,False,0.6851321485590164,False
swtdb4_D4_I_mad,0.05293961812703627,-0.03251600242630358,0.10931496205947201,0.5553278606752947,False,False,0.6172502476275377,False
wptdb4_b12_V1_maxabs,0.052931395537952966,-0.15207759746029764,0.20909402809753577,0.9102915031309844,False,False,0.9296119758504992,False
swtcoif3_D5_AVF_nover3,-0.05288581262014871,0.1878326029564894,-0.30572265676149446,0.8214189453122069,False,False,0.8539602667626356,False
swtdb4_A6_II_skew,-0.05281703956075684,-0.20898388216011768,0.11354973339031081,0.32904757536418516,False,False,0.39447869360862065,False
swtcoif3_D3_I_hjmob,0.05276808759327969,0.1791099095806491,0.05464697896297294,0.39036298270950653,False,False,0.45682328472366013,False
swtsym4_cohD4D3_V3,0.05273092853492849,-0.005695740332768007,0.056232526317352524,0.329985492524123,False,False,0.3955083603810088,False
swtcoif3_D4_AVL_crest,-0.05262640762544689,-0.16726523321641884,0.015537676501158356,0.5527065487840237,False,False,0.6148176338281904,False
swtdb4_D5_AVR_qrsfrac,-0.05260758210686131,-0.05879902469803508,-0.08548369276194637,0.9464834891805965,False,False,0.9568087636080213,False
dwtdb4_D4_AVL_crest,-0.05257901038380236,0.0280665131478932,-0.14275601663138132,0.7532462494701306,False,False,0.7957028145130955,False
swtcoif3_D4_AVL_mad,0.05244323191284621,-0.035893969277482736,0.17121487971406352,0.5322030336523411,False,False,0.5948501184713681,False
swtcoif3_D5_V6_mad,0.05243949586561967,-0.19021704893886446,0.3006779589753986,0.510513814985321,False,False,0.5754924825831372,False
dwtdb4_D4_I_crest,0.05221418268457351,0.018630499438022065,0.060957490798509234,0.7201162904635396,False,False,0.7670204166623142,False
dwtdb4_D5_V3_logenergy,-0.05196515301365594,0.08219823484555136,-0.12697528890550025,0.2545805567521918,False,False,0.314626106690039,False
